month	title	m_facebook	n_facebook	url	category
01	담배가격 인상에도 불구…던힐은 아직 2700원 ‘왜?’	4	0	http://star.mk.co.kr/new/view.php?mc=ST&no=1936&year=2015	gen
01	北 김정은 “남북정상회담 못할 이유 없어”	2	0	http://news.mk.co.kr/news_forward.php?domain=news&no=1996&year=2015	politics
01	"이명박 전 대통령 ""4대강 사업 더 지켜봐야"""	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=1588&year=2015	politics
01	현대百그룹, 아빠 기 살리기…힐링선물·가족캠프 지원	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=1496&year=2015	business
01	“양적완화 준비됐다” 드라기 발언에 유로화 최저…유로당 1.202달러	1	11	http://news.mk.co.kr/news_forward.php?domain=news&no=5141&year=2015	international
01	김무성 “기업인 사기회복 도와야”	4	0	http://news.mk.co.kr/news_forward.php?domain=news&no=5154&year=2015	politics
01	N. Korea’s new rich changing landscape of N. Korea	2	0	http://news.mk.co.kr/news_forward.php?domain=news&no=1732&year=2015	gen
01	국민·하나銀 임대사업 시동건다	43	0	http://news.mk.co.kr/news_forward.php?domain=news&no=1797&year=2015	economy
01	실손보험료 최대 20% 인상…손보사 이달부터 적용	3	0	http://news.mk.co.kr/news_forward.php?domain=news&no=1554&year=2015	economy
01	“독도는 한국의 심장…새해 첫날도 철통경계”	0	79	http://news.mk.co.kr/news_forward.php?domain=news&no=1570&year=2015	society
01	미국, 고강도 대북 제재조치 담은 행정명령 발동	0	1	http://news.mk.co.kr/news_forward.php?domain=news&no=5579&year=2015	international
01	`뽁뽁이`…에어캡의 우리말 순화어로 선정	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=11103&year=2015	society
01	문형표 복지부장관, 담뱃값 다음은 술	133	211	http://news.mk.co.kr/news_forward.php?domain=news&no=20454&year=2015	economy
01	"북한, `언론사 총격` 프랑스에 위로 전문…""테러 반대"""	5	0	http://news.mk.co.kr/news_forward.php?domain=news&no=29860&year=2015	international
01	액티브X 드디어…3월에 사라진다	18	0	http://news.mk.co.kr/news_forward.php?domain=news&no=41857&year=2015	business
01	갑론을박 김영란법 2월 국회로	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33394&year=2015	politics
01	문화재 `번호` 없앤다…공청회 거쳐 연내 고시 추진	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33444&year=2015	culture
01	세계경제에 먹구름 부른 ‘지정학 갈등’ 해법 모색	4	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33453&year=2015	economy
01	[오늘의 날씨] 12일, 전국 대체로 맑으나 한파	5	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33257&year=2015	culture
01	의정부서 화재로 128명 사상, 안전 무방비 도시형생활주택	0	23	http://news.mk.co.kr/news_forward.php?domain=news&no=33401&year=2015	society
01	신도리코 보급형 3D프린터 출시	13	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33269&year=2015	business
01	‘가장 가난한 대통령’ 우루과이 호세 무히카 5년월급 55만弗 기부	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33321&year=2015	society
01	시각장애 제자들 위해 ‘훈련로봇’ 개발	13	13	http://news.mk.co.kr/news_forward.php?domain=news&no=33322&year=2015	society
01	서울문화예술대 상담사학교	3	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33324&year=2015	society
01	수상한 외가 방문…외조부 우익DNA 전수받은 아베총리	3	0	http://news.mk.co.kr/news_forward.php?domain=news&no=33331&year=2015	society
