media	title	n_facebook	o_facebook	total	org_url	thumbnail
ytn	5만원 내면 부숴도 되는 '분노 객실' 등장	0	72139	72139	http://www.ytn.co.kr/_ln/0104_201602241540067079	http://imgnews.naver.net/image/origin/052/2016/02/24/784318.jpg
jtbc	강남 화장실서 참혹하게…흉기 찔린 20대 여성 사망	60325	1079	61404	http://news.jtbc.joins.com/article/article.aspx?news_id=NB11234943	http://imgnews.naver.net/image/origin/437/2016/05/17/118799.jpg
kh	영화 '귀향' 무료로 관람하세요	78	35494	35572	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201602241118281&code=940100	none
joins	북핵 대북방송 와중에 장병 외출 외박 전면 통제	0	33256	33256	http://news.joins.com/article/19380671	none
hani	6일 밤 비바람…벚꽃 엔딩	52	32343	32395	http://www.hani.co.kr/arti/society/environment/738287.html	http://imgnews.naver.net/image/origin/028/2016/04/05/2313374.jpg
hani	신의진 의원님, ‘나영이 주치의’ 현수막 어이없네요	122	29851	29973	http://www.hani.co.kr/arti/society/society_general/731475.html	http://imgnews.naver.net/image/origin/028/2016/02/22/2307809.jpg
hani	“돈보다 사람”…경비원 감축안 부결시킨 아파트	4890	24799	29689	http://www.hani.co.kr/arti/society/society_general/724599.html	http://imgnews.naver.net/image/origin/028/2016/01/04/2302302.jpg
sbs	[건강리포트] 갑상선암 환자 '급증'…여성이 더 위험	3	27653	27656	http://news.sbs.co.kr/news/endPage.do?news_id=N1003528677	http://imgnews.naver.net/image/origin/055/2016/04/18/399261.jpg
ohmynews	필리버스터 부른 테러방지법이 '악법'인 까닭 - 오마이뉴스	559	25989	26548	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002184367	http://imgnews.naver.net/image/origin/047/2016/02/23/2108112.jpg
hani	“‘귀향’ 무료로 보세요” 영화관 대관한 역사선생님	100	25286	25386	http://www.hani.co.kr/arti/society/schooling/731959.html	http://imgnews.naver.net/image/origin/028/2016/02/24/2308217.jpg
hani	세월호, 병풍도에 바짝 붙어 운항한 이유는?	16410	8717	25127	http://www.hani.co.kr/arti/society/society_general/726406.html	http://imgnews.naver.net/image/origin/028/2016/01/15/2303739.jpg
ohmynews	생수 마신 5세 아이까지 피폭, 더는 살 수 없다  - 오마이뉴스	13311	11141	24452	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002177075	http://imgnews.naver.net/image/origin/047/2016/01/24/2106177.jpg
ytn	"동물농장에 나온 공장 개가 잃어버린 저희 아이에요"	154	24075	24229	http://www.ytn.co.kr/_ln/0103_201605231810088555	http://imgnews.naver.net/image/origin/052/2016/05/23/844170.jpg
sbs	장염과는 다른 '크론병'…20대~30대 환자 급증	2	23617	23619	http://news.sbs.co.kr/news/endPage.do?news_id=N1003451950	http://imgnews.naver.net/image/origin/055/2016/03/06/384594.jpg
mk	[단독] 이공계 병역특례 2023년까지 폐지	15268	6959	22227	http://news.mk.co.kr/newsRead.php?year=2016&no=351714	http://imgnews.naver.net/image/origin/009/2016/05/16/3732691.jpg
ytn	강남역 묻지마 살인' 피해자 남자친구 끔찍한 광경에 '오열'	46	20473	20519	http://www.ytn.co.kr/_ln/0103_201605181645062099	http://imgnews.naver.net/image/origin/052/2016/05/18/840862.jpg
ytn	연말정산 카드 공제 올해 말 종료...직장인 '한숨'	0	20459	20459	http://www.ytn.co.kr/_ln/0102_201602212155089210	http://imgnews.naver.net/image/origin/052/2016/02/21/782182.jpg
chosun	마른 장마 아닌 '진짜 장마' 온다	38	20351	20389	http://news.chosun.com/site/data/html_dir/2016/06/17/2016061700270.html	http://imgnews.naver.net/image/origin/023/2016/06/17/3184878.jpg
sbs	현대차 모든 직원에 '설 선물' 130만 원 준다	0	20288	20288	http://news.sbs.co.kr/news/endPage.do?news_id=N1003373243	http://imgnews.naver.net/image/origin/055/2016/01/21/369944.jpg
ohmynews	2번 뭉치표가 1번으로... 눈 부릅뜨고 지켰다 - 오마이뉴스	4184	15694	19878	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002201227	http://imgnews.naver.net/image/origin/047/2016/04/15/2113540.jpg
sbs	더민주-국민의당, '국정교과서 폐기결의안' 추진…첫 공조	49	19505	19554	http://news.sbs.co.kr/news/endPage.do?news_id=N1003526914	none
kh	[단독]시급한 소방관 옷 개선에 예산 ‘꼼수’ 부린 국민안전처···결국 한 해 또 연기	5226	14302	19528	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201606080530001&code=940100	http://imgnews.naver.net/image/origin/032/2016/06/08/2705048.jpg
jtbc	[단독] 정부, '위안부 기록 유네스코 등재' 지원 중단	290	19199	19489	http://news.jtbc.joins.com/article/article.aspx?news_id=NB11257402	http://imgnews.naver.net/image/origin/437/2016/06/21/122694.jpg
ohmynews	반기문 사무총장 강연장서 '한일 합의 반대' 기습 시위 - 오마이뉴스	12	19454	19466	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002180636	http://imgnews.naver.net/image/origin/047/2016/02/06/2107096.jpg
kh	[4·13 총선투표]‘세월호 변호사’ 박주민 “세월호 특별법 개정하겠다”	6411	12474	18885	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201604140254001&code=910100	http://imgnews.naver.net/image/origin/032/2016/04/14/2691542.jpg
sbs	[속보] 이세돌 9단 알파고에 첫 불계승, 설욕 성공	31	18577	18608	http://news.sbs.co.kr/news/endPage.do?news_id=N1003464670	http://imgnews.naver.net/image/origin/055/2016/03/13/387097.jpg
ytn	[날씨] 올여름 장마 20일 이후 시작...초반에 집중호우	0	18112	18112	http://www.ytn.co.kr/_ln/0108_201606091733262213	none
kh	[속보]더민주 김광진 의원 5시간32분간 필리버스터..김대중 전 대통령 기록 깼다	53	17659	17712	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201602240029571&code=910100	http://imgnews.naver.net/image/origin/032/2016/02/24/2678465.jpg
kh	“10년내 언어장벽 사라진다”···실시간 통역 이어폰 등장 예고	16639	394	17033	http://bizn.khan.co.kr/khan_art_view.html?artid=201602011611211&code=920100&med=khan	http://imgnews.naver.net/image/origin/032/2016/02/01/2672953.jpg
chosun	술 마시면 행복해진다' 속설, 수치로 입증됐네	0	16277	16277	http://news.chosun.com/site/data/html_dir/2016/05/27/2016052700261.html	none
chosun	서울지하철 7호선, '불금'엔 24시간 운행?	0	16121	16121	http://news.chosun.com/site/data/html_dir/2016/03/11/2016031102408.html	none
ohmynews	결국 울먹인 은수미, 그의 마지막 발언은? - 오마이뉴스	117	15883	16000	http://www.ohmynews.com/NWS_Web/View/at_pg_w.aspx?CNTN_CD=A0002184556	http://imgnews.naver.net/image/origin/047/2016/02/24/2108167.jpg
chosun	만11세'에 김연아의 최연소 우승 갈아치운 피겨 신동	0	14719	14719	http://news.chosun.com/site/data/html_dir/2016/01/10/2016011001680.html	http://imgnews.naver.net/image/origin/023/2016/01/10/3120943.jpg
jtbc	[단독] 전경련, 어버이연합에 4억 추가 지원 드러나	147	13516	13663	http://news.jtbc.joins.com/article/article.aspx?news_id=NB11221197	http://imgnews.naver.net/image/origin/437/2016/04/25/116371.jpg
chosun	"그 여경 당장 잘라"… 의령경찰서에 무슨일이	4	13264	13268	http://news.chosun.com/site/data/html_dir/2016/03/05/2016030500159.html	http://imgnews.naver.net/image/origin/023/2016/03/05/3150671.jpg
yonhap	더민주-국민의당, '국정교과서 폐기결의안' 추진…첫 공조	13012	0	13012	http://www.yonhapnews.co.kr/bulletin/2016/04/16/0200000000AKR20160416042900001.HTML	http://imgnews.naver.net/image/origin/001/2016/04/16/8337752.jpg
jtbc	[단독] 전경련, 어버이연합에 거액 입금 의혹…확인해보니	1088	11713	12801	http://news.jtbc.joins.com/article/article.aspx?news_id=NB11217099	http://imgnews.naver.net/image/origin/437/2016/04/19/115830.jpg
mk	사라진 軍 침대…혈세 6조8천억 쏟아붓고도 `내무반 현대화` 못끝내	3231	8730	11961	http://news.mk.co.kr/newsRead.php?year=2016&no=241285	http://imgnews.naver.net/image/origin/009/2016/04/01/3707773.jpg
nocut	세월호 반대 집회 '알바 동원' 의혹 사실로 드러나 - 노컷뉴스	4	11821	11825	http://cbs.kr/X50C0m	http://imgnews.naver.net/image/origin/079/2016/04/11/2819172.jpg
